Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pf","C_0805_2012Metric",-142.875000,-143.129000,0.000000,bottom
"C2","22pf","C_0805_2012Metric",-142.875000,-135.890000,0.000000,bottom
"C3","1uF","C_0805_2012Metric",-130.556000,-128.587500,90.000000,bottom
"C4","0.1uF","C_0805_2012Metric",-109.537500,-138.906250,270.000000,bottom
"C5","0.1uF","C_0805_2012Metric",-106.362500,-138.906250,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",-103.187500,-138.906250,270.000000,bottom
"C7","10uF","C_0805_2012Metric",-112.712500,-138.906250,270.000000,bottom
"D1","SOD-123","D_SOD-123",-40.481250,-57.150000,0.000000,bottom
"D2","SOD-123","D_SOD-123",-59.531250,-57.150000,0.000000,bottom
"D3","SOD-123","D_SOD-123",-78.581250,-57.150000,0.000000,bottom
"D4","SOD-123","D_SOD-123",-97.631250,-57.150000,0.000000,bottom
"D5","SOD-123","D_SOD-123",-116.681250,-57.150000,0.000000,bottom
"D6","SOD-123","D_SOD-123",-135.793750,-57.150000,0.000000,bottom
"D7","SOD-123","D_SOD-123",-154.781250,-57.150000,0.000000,bottom
"D8","SOD-123","D_SOD-123",-173.831250,-57.150000,0.000000,bottom
"D9","SOD-123","D_SOD-123",-209.499200,-58.267600,180.000000,bottom
"D10","SOD-123","D_SOD-123",-221.996000,-57.302400,180.000000,bottom
"D11","SOD-123","D_SOD-123",-231.140000,-57.150000,0.000000,bottom
"D12","SOD-123","D_SOD-123",-250.031250,-57.150000,0.000000,bottom
"D13","SOD-123","D_SOD-123",-269.081250,-57.150000,0.000000,bottom
"D14","SOD-123","D_SOD-123",-296.068750,-57.150000,0.000000,bottom
"D15","SOD-123","D_SOD-123",-45.243750,-76.200000,0.000000,bottom
"D16","SOD-123","D_SOD-123",-69.056250,-76.200000,0.000000,bottom
"D17","SOD-123","D_SOD-123",-88.106250,-76.200000,0.000000,bottom
"D18","SOD-123","D_SOD-123",-107.156250,-76.200000,0.000000,bottom
"D19","SOD-123","D_SOD-123",-126.206250,-76.200000,0.000000,bottom
"D20","SOD-123","D_SOD-123",-145.256250,-76.200000,0.000000,bottom
"D21","SOD-123","D_SOD-123",-164.306250,-76.200000,0.000000,bottom
"D22","SOD-123","D_SOD-123",-183.356250,-76.200000,0.000000,bottom
"D23","SOD-123","D_SOD-123",-202.406250,-76.200000,0.000000,bottom
"D24","SOD-123","D_SOD-123",-221.456250,-76.200000,0.000000,bottom
"D25","SOD-123","D_SOD-123",-240.506250,-76.200000,0.000000,bottom
"D26","SOD-123","D_SOD-123",-259.556250,-76.200000,0.000000,bottom
"D27","SOD-123","D_SOD-123",-278.606250,-76.200000,0.000000,bottom
"D28","SOD-123","D_SOD-123",-302.418750,-76.200000,0.000000,bottom
"D29","SOD-123","D_SOD-123",-41.275000,-96.043750,0.000000,bottom
"D30","SOD-123","D_SOD-123",-73.818750,-95.250000,0.000000,bottom
"D31","SOD-123","D_SOD-123",-92.868750,-95.250000,0.000000,bottom
"D32","SOD-123","D_SOD-123",-111.918750,-95.250000,0.000000,bottom
"D33","SOD-123","D_SOD-123",-130.968750,-95.250000,0.000000,bottom
"D34","SOD-123","D_SOD-123",-150.018750,-95.250000,0.000000,bottom
"D35","SOD-123","D_SOD-123",-169.068750,-95.250000,0.000000,bottom
"D36","SOD-123","D_SOD-123",-188.118750,-95.250000,0.000000,bottom
"D37","SOD-123","D_SOD-123",-207.168750,-95.250000,0.000000,bottom
"D38","SOD-123","D_SOD-123",-226.218750,-95.250000,0.000000,bottom
"D39","SOD-123","D_SOD-123",-245.268750,-95.250000,0.000000,bottom
"D40","SOD-123","D_SOD-123",-264.318750,-95.250000,0.000000,bottom
"D41","SOD-123","D_SOD-123",-295.275000,-95.250000,0.000000,bottom
